Source,Location ID,City,State,Country,Latitude,Longitude,Elevation,,,
TMY3,123456,Jinta,GS,China,40.06,98.675,1266,,,
Year,Month,Day,Hour,GHI,DNI ,DIF,AP,RH ,WS ,WD
2014,1,11,9,57.3,258.1,26.3,886.9,72.2,0.625,241.4
2014,1,11,10,205.3,508.8,65.8,887.7,65.4,0.425,206.7
2014,1,11,11,348.8,616.2,88,888.4,60.3,0.65,124.9
2014,1,11,12,453.8,666.5,102.5,888.7,54.1,1.375,102.1
2014,1,11,13,504,686.1,109.3,888.3,46.5,1.975,92
2014,1,11,14,492.3,681.2,107.8,887.8,41.5,2.4,87.5
2014,1,11,15,420,651.7,99.5,887.8,38.3,2.8,87.5
2014,1,11,16,297.8,584.8,83,888,35.5,3.2,91.1
2014,1,11,17,143.5,433.1,53.3,888,36.9,3.475,94.8
2014,1,11,18,25,144.7,15,887.8,44.5,3.4,95.8
2014,1,11,19,0,0,0,888.1,49.6,3.3,90.7
2014,1,11,20,0,0,0,888.4,53.7,3.3,90.8
2014,1,11,21,0,0,0,888.2,57.8,3.225,91.2
2014,1,11,22,0,0,0,888.3,64.2,3.125,93.2
2014,1,11,23,0,0,0,888.2,66.9,3.025,96
2014,1,12,0,0,0,0,888,69.1,2.9,97.7
2014,1,12,1,0,0,0,887.7,71.6,2.675,99.4
2014,1,12,2,0,0,0,887.2,73.9,2.4,105.4
2014,1,12,3,0,0,0,886.7,75.9,2.225,110.2
2014,1,12,4,0,0,0,886.3,76.3,2.125,115.5
2014,1,12,5,0,0,0,885.6,75.8,1.95,118.4
2014,1,12,6,0,0,0,884.8,75.7,1.65,122.5
2014,1,12,7,0,0,0,884.4,76.1,1.775,124.8
2014,1,12,8,1.3,21.4,0.8,884.3,77.6,1.775,129.5
2014,1,12,9,49.8,204.9,26.8,884.2,76.1,1.7,124.8
2014,1,12,10,174,393.9,70,884.1,69.2,1.7,115
2014,1,12,11,296.5,470,102,884.3,60,1.8,99.6
2014,1,12,12,422.3,584.6,114.3,884.3,51.5,1.9,89.2
2014,1,12,13,500.3,670.7,110.8,883.7,40.5,1.825,81.8
2014,1,12,14,483.8,654.9,112,882.8,35.6,1.8,75.5
2014,1,12,15,417,633,103.8,882.5,33.3,1.775,73.3
2014,1,12,16,299.3,569.4,86.5,882.6,31.7,1.575,72
2014,1,12,17,130.3,329.1,59.8,882.9,31.2,1.3,73.8
2014,1,12,18,16.3,96,10,883.5,34.3,1.225,89.1
2014,1,12,19,0,0,0,883.7,38.6,1.475,101.6
2014,1,12,20,0,0,0,884.1,45.3,1.675,117.1
2014,1,12,21,0,0,0,884.2,48.2,1.675,124.7
2014,1,12,22,0,0,0,884,52.6,1.5,131.8
2014,1,12,23,0,0,0,884,53.7,1.3,150.7
2014,1,13,0,0,0,0,883.9,57.6,1.275,180.8
2014,1,13,1,0,0,0,883.6,61.9,1.375,203.9
2014,1,13,2,0,0,0,883.3,66.4,1.475,221.6
2014,1,13,3,0,0,0,883.2,69.5,1.625,234.4
2014,1,13,4,0,0,0,883.2,71.7,1.9,240.8
2014,1,13,5,0,0,0,882.9,71.4,2.075,243.8
2014,1,13,6,0,0,0,882.6,72.6,2.1,250.5
2014,1,13,7,0,0,0,882.9,73.4,2.2,270.9
2014,1,13,8,1.5,23.6,0.8,883.7,75.7,2.375,272.2
2014,1,13,9,58.8,268.2,25,884.2,73.5,2.3,261.1
2014,1,13,10,205,508,64.5,884.7,64.1,2.075,258
2014,1,13,11,337.3,585.2,88,885.1,52.8,1.9,265.2
2014,1,13,12,456,666.7,98.5,885.3,44.6,1.975,279.1
2014,1,13,13,510.8,696.4,102.8,885,36.1,2.025,295.6
2014,1,13,14,499.5,692.6,102,884.5,32.4,2.075,308.7
2014,1,13,15,428.8,664.5,94.5,884.5,30.6,1.85,313
2014,1,13,16,306,601.3,79,884.6,28.8,1.3,308.8
2014,1,13,17,150.3,452.4,51.3,884.8,27.9,0.8,294
2014,1,13,18,21.8,130.7,9.8,885,30.9,0.4,264
2014,1,13,19,0,0,0,885.3,31.6,0.25,152.2
2014,1,13,20,0,0,0,885.5,38,0.625,120.5
2014,1,13,21,0,0,0,885.6,41.8,1.2,121.5
2014,1,13,22,0,0,0,885.6,45.3,1.725,121.3
2014,1,13,23,0,0,0,885.6,45.3,2.175,122.2
2014,1,14,0,0,0,0,885.3,46.3,2.425,117.4
2014,1,14,1,0,0,0,884.8,48.4,2.7,109.2
2014,1,14,2,0,0,0,884.2,49.6,2.875,104.2
